syllable,p_stressed,p_long
,0.33333333340751015,0.33333333340751015
kreis,0.7290163638792146,0.9685691228416717
tung,0.012199059847119118,0.19969045778509242
mün,0.9230760826649238,0.9230762234710379
hal,0.9894728360363536,0.9894736501987451
sturz,0.7999968800463626,0.7999968800463626
zä,0.6666426327694928,0.6666430690832227
schrei,0.9729670544559393,0.9868293904555198
laur',0.6663164973391825,0.6663627393874617
dier,0.3333333333333335,0.6666639408513176
pä,0.5497054717535375,0.6406141097944434
stellst,0.25,0.4999999999999997
säugt,0.6657083924262381,0.6657083924262465
stirb,0.75,0.75
kno,0.8749999769474983,0.8749999769474983
klapp,0.6666666662635776,0.6666666662635776
stun,0.8571367091032281,0.8571367091032281
dämpft,0.6664809361349405,0.6664809361349405
ein,0.15316186479064958,0.41256900472085517
rol,0.7996124410733664,0.7996127798425426
fehl,0.9472923666424302,0.9473294217787843
haf,0.8461540003946364,0.8461540003946364
sahn,0.8091918251367294,0.9398285589827026
rho,0.8333319617149725,0.8333319617149726
saal,0.8888266075604332,0.8888266080107817
nein,0.7812489566157523,0.9687481849447056
irrt',0.7499999999975171,0.7499999999975171
gea,0.6665765755453354,0.6665933755040581
üp,0.8888822302001882,0.8888822302009474
reos,0.6666663750685471,0.6666663750685471
tör,0.6666666666666666,0.6666666666666666
nebst,0.3333333333333333,0.6666664581637679
bohrt',0.9371940648379472,0.9372231493859321
wall,0.8749973434189638,0.8749973435049602
lärm,0.8569556266669669,0.857040147480401
quält,0.8744658318517028,0.8744658318517028
fent,0.12512149424678132,0.12512149424678132
schlingt,0.7499999995792048,0.7499999995792048
prie,0.9629503379963731,0.9629503379964299
stern,0.9330040172844443,0.9330040233354213
pflan,0.7912196169619776,0.7912196180538628
winnst,0.6604489217258416,0.6604491384556549
trach,0.8888887839472773,0.8888887839472773
helm,0.9433723836871656,0.9811135900090004
zi,0.013002567393492218,0.013003405189003876
dächt',0.6666666666666666,0.6666666666666666
strit,0.8333333333333334,0.8333333333333334
schwarm,0.8739887030680087,0.8739895527060529
schlüp,0.744648590644859,0.744648590644859
nae,0.3341623351481909,0.6586584061077937
bebt',0.833322168249043,0.833322168249043
schluchz,0.666658296045318,0.666658296045318
nes,0.05933528769692319,0.40054748612553404
naht,0.8729930403465751,0.982729382290573
schnein,0.6656926851919434,0.6656933667551197
hall',0.6666659360155825,0.6666659360155825
che,0.011703002077319785,0.07379010570374137
fluß,0.666666607329446,0.666666607329446
sers,0.16666666666666663,0.4999999999999998
fürs,0.9807691583293757,0.9807691604110386
stren,0.6666666666666666,0.6666666666666666
stäm,0.8569099210821242,0.8569099430346778
heert,0.8333275018484393,0.8333275018824547
hieb,0.840276990436163,0.9103003289131552
hehl,0.6666666666666059,0.666666666666606
sterb',0.7094551393980582,0.7094551393980582
by,0.799997647041368,0.7999976477486842
rucht,0.7499997552036659,0.7499997552036659
schmel,0.6665590772992266,0.6665590772992266
wuchs,0.8139211699811801,0.9554726848083607
gaul,0.3984704803997681,0.9484458435156634
boll,0.6666666666666666,0.6666666666666666
ul,0.7499124219341302,0.7499124378902927
blaß,0.6000000000000001,0.7999999991043445
wegdräng',0.6666561126479126,0.6666666487582159
fie,0.8999834465216375,0.8999834468249363
bos',0.3333333333333333,0.3343016413290723
