line_number,book_number,original_text
1,1,"Singe den Zorn, o Göttin, des Peleiaden Achilleus,"
2,1,"Ihn, der entbrannt den Achaiern unnennbaren Jammer erregte,"
3,1,Und viel tapfere Seelen der Heldensöhne zum Aïs
4,1,"Sendete, aber sie selbst zum Raub darstellte den Hunden,"
5,1,Und dem Gevögel umher. So ward Zeus Wille vollendet:
6,1,"Seit dem Tag, als erst durch bitteren Zank sich entzweiten"
7,1,"Atreus Sohn, der Herrscher des Volks, und der edle Achilleus."
8,1,Wer hat jene der Götter empört zu feindlichem Hader?
9,1,"Letos Sohn und des Zeus. Denn der, dem Könige zürnend,"
10,1,Sandte verderbliche Seuche durchs Heer; und es sanken die Völker:
11,1,"Drum weil ihm den Chryses beleidiget, seinen Priester,"
12,1,"Atreus Sohn. Denn er kam zu den rüstigen Schiffen Achaias,"
13,1,"Frei zu kaufen die Tochter, und bracht' unendliche Lösung,"
14,1,Tragend den Lorbeerschmuck des treffenden Phöbos Apollon
15,1,"Und den goldenen Stab; und er flehete laut den Achaiern,"
16,1,"Doch den Atreiden vor allen, den zween Feldherren der Völker:"
17,1,"Atreus Söhn', und ihr andern, ihr hellumschienten Achaier,"
18,1,"Euch verleihn die Götter, olympischer Höhen Bewohner,"
19,1,"Priamos Stadt zu vertilgen, und wohl nach Hause zu kehren;"
20,1,"Doch mir gebt die Tochter zurück, und empfahet die Lösung,"
21,1,Ehrfurchtsvoll vor Zeus ferntreffendem Sohn Apollon.
22,1,"Drauf gebot beifallend das ganze Heer der Achaier,"
23,1,"Ehrend den Priester zu scheun, und die köstliche Lösung zu nehmen."
24,1,"Aber nicht Agamemnon, des Atreus Sohne, gefiel es;"
25,1,"Dieser entsandt' ihn mit Schmach, und befahl die drohenden Worte:"
26,1,"Daß ich nimmer, o Greis, bei den räumigen Schiffen dich treffe,"
27,1,"Weder anitzt hier zaudernd, noch wiederkehrend in Zukunft!"
28,1,"Kaum wohl möchte dir helfen der Stab, und der Lorbeer des Gottes!"
29,1,"Jene lös' ich dir nicht, bis einst das Alter ihr nahet,"
30,1,"Wann sie in meinem Palast in Argos, fern von der Heimat,"
31,1,"Mir als Weberin dient, und meines Bettes Genossin!"
32,1,"Gehe denn, reize mich nicht; daß wohlbehalten du kehrest!"
33,1,"Jener sprach's: doch Chryses erschrak, und gehorchte der Rede."
34,1,Schweigend ging er am Ufer des weitaufrauschenden Meeres;
35,1,"Und wie er einsam jetzt hinwandelte, flehte der Alte"
36,1,"Viel zum Herrscher Apollon, dem Sohn der lockigen Leto:"
37,1,"Höre mich, Gott, der du Chrysa mit silbernem Bogen umwandelst,"
38,1,"Samt der heiligen Killa, und Tenedos mächtig beherrschest,"
39,1,"Smintheus! hab ich dir je den prangenden Tempel gekränzet,"
40,1,Oder hab' ich dir je von erlesenen Farren und Ziegen
41,1,Fette Schenkel verbrannt; so gewähre mir dieses Verlangen:
42,1,Meine Tränen vergilt mit deinem Geschoß den Achaiern!
43,1,Also rief er betend; ihn hörete Phöbos Apollon.
