line_number,book_number,original_text
1,1,"Sage mir, Muse, die Taten des vielgewanderten Mannes,"
2,1,"Welcher so weit geirrt, nach der heiligen Troja Zerstörung,"
3,1,"Vieler Menschen Städte gesehn, und Sitte gelernt hat,"
4,1,"Und auf dem Meere so viel' unnennbare Leiden erduldet,"
5,1,"Seine Seele zu retten, und seiner Freunde Zurückkunft."
6,1,"Aber die Freunde rettet' er nicht, wie eifrig er strebte,"
7,1,Denn sie bereiteten selbst durch Missetat ihr Verderben:
8,1,Toren! welche die Rinder des hohen Sonnenbeherrschers
9,1,"Schlachteten; siehe, der Gott nahm ihnen den Tag der Zurückkunft,"
10,1,"Sage hievon auch uns ein weniges, Tochter Kronions."
11,1,"Alle die andern, so viel dem verderbenden Schicksal entflohen,"
12,1,"Waren jetzo daheim, dem Krieg' entflohn und dem Meere:"
13,1,"Ihn allein, der so herzlich zur Heimat und Gattin sich sehnte,"
14,1,"Hielt die unsterbliche Nymphe, die hehre Göttin Kalypso,"
15,1,"In der gewölbeten Grotte, und wünschte sich ihn zum Gemahle."
16,1,"Selbst da das Jahr nun kam im kreisenden Laufe der Zeiten,"
17,1,"Da ihm die Götter bestimmt, gen Ithaka wiederzukehren;"
18,1,"Hatte der Held noch nicht vollendet die müdende Laufbahn,"
19,1,Auch bei den Seinigen nicht. Es jammerte seiner die Götter;
20,1,Nur Poseidon zürnte dem göttergleichen Odysseus
21,1,"Unablässig, bevor er sein Vaterland wieder erreichte."
22,1,Dieser war jetzo fern zu den Äthiopen gegangen;
23,1,"Äthiopen, die zwiefach geteilt sind, die äußersten Menschen,"
24,1,"Gegen den Untergang der Sonnen, und gegen den Aufgang:"
25,1,Welche die Hekatombe der Stier' und Widder ihm brachten.
26,1,"Allda saß er, des Mahls sich freuend. Die übrigen Götter"
27,1,Waren alle in Zeus' des Olympiers Hause versammelt.
28,1,Unter ihnen begann der Vater der Menschen und Götter;
29,1,"Denn er gedachte bei sich des tadellosen Ägisthos,"
30,1,"Den Agamemnons Sohn, der berühmte Orestes, getötet;"
31,1,"Dessen gedacht' er jetzo, und sprach zu der Götter Versammlung:"
32,1,Welche Klagen erheben die Sterblichen wider die Götter!
33,1,"Nur von uns, wie sie schrein, kommt alles Übel; und dennoch"
34,1,"Schaffen die Toren sich selbst, dem Schicksal entgegen, ihr Elend."
35,1,"So nahm jetzo Ägisthos, dem Schicksal entgegen, die Gattin"
36,1,"Agamemnons zum Weib', und erschlug den kehrenden Sieger,"
37,1,"Kundig des schweren Gerichts! Wir hatten ihn lange gewarnet,"
38,1,"Da wir ihm Hermes sandten, den wachsamen Argosbesieger,"
39,1,"Weder jenen zu töten, noch um die Gattin zu werben."
40,1,"Denn von Orestes wird einst das Blut Agamemnons gerochen,"
41,1,"Wann er, ein Jüngling nun, des Vaters Erbe verlanget."
42,1,So weissagte Hermeias; doch folgte dem heilsamen Rate
43,1,"Nicht Ägisthos, und jetzt hat er alles auf einmal gebüßet."
44,1,Drauf antwortete Zeus' blauäugige Tochter Athene:
45,1,"Unser Vater Kronion, der herrschenden Könige Herrscher,"
46,1,Seiner verschuldeten Strafe ist jener Verräter gefallen.
47,1,"Möchte doch jeder so fallen, wer solche Taten beginnet!"
48,1,Aber mich kränkt in der Seele des weisen Helden Odysseus
49,1,"Elend, welcher so lang', entfernt von den Seinen, sich abhärmt,"
50,1,"Auf der umflossenen Insel, der Mitte des wogenden Meeres."
51,1,"Eine Göttin bewohnt das waldumschattete Eiland,"
52,1,"Atlas' Tochter, des Allerforschenden, welcher des Meeres"
53,1,"Dunkle Tiefen kennt, und selbst die ragenden Säulen"
54,1,"Aufhebt, welche die Erde vom hohen Himmel sondern."
55,1,"Dessen Tochter hält den ängstlich harrenden Dulder,"
56,1,"Immer schmeichelt sie ihm mit sanft liebkosenden Worten,"
57,1,Daß er des Vaterlandes vergesse. Aber Odysseus
58,1,"Sehnt sich, auch nur den Rauch von Ithakas heimischen Hügeln"
59,1,"Steigen zu sehn, und dann zu sterben! Ist denn bei dir auch"
60,1,"Kein Erbarmen für ihn, Olympier? Brachte Odysseus"
61,1,Nicht bei den Schiffen der Griechen in Trojas weitem Gefilde
62,1,"Sühnender Opfer genug? Warum denn zürnest du so, Zeus?"
63,1,Ihr antwortete drauf der Wolkenversammler Kronion:
64,1,"Welche Rede, mein Kind, ist deinen Lippen entflohen?"
65,1,O wie könnte doch ich des edlen Odysseus vergessen?
66,1,"Sein, des weisesten Mannes, und der die reichlichsten Opfer"
67,1,"Uns Unsterblichen brachte, des weiten Himmels Bewohnern?"
68,1,"Poseidaon verfolgt ihn, der Erdumgürter, mit heißer"
69,1,"Unaufhörlicher Rache; weil er den Kyklopen geblendet,"
70,1,"Polyphemos, den Riesen, der unter allen Kyklopen,"
71,1,"Stark wie ein Gott, sich erhebt. Ihn gebar die Nymphe Thoosa,"
72,1,"Phorkyns Tochter, des Herrschers im wüsten Reiche der Wasser,"
73,1,Welche Poseidon einst in dämmernder Grotte bezwungen.
74,1,"Darum trachtet den Helden der Erderschüttrer Poseidon,"
75,1,"Nicht zu töten, allein von der Heimat irre zu treiben."
76,1,"Aber wir wollen uns alle zum Rat vereinen, die Heimkehr"
77,1,Dieses Verfolgten zu fördern; und Poseidaon entsage
78,1,"Seinem Zorn: denn nichts vermag er doch wider uns alle,"
79,1,Uns unsterblichen Göttern allein entgegen zu kämpfen!
80,1,Drauf antwortete Zeus' blauäugichte Tochter Athene:
81,1,"Unser Vater Kronion, der herrschenden Könige Herrscher,"
82,1,"Ist denn dieses im Rate der seligen Götter beschlossen,"
83,1,Daß in sein Vaterland heimkehre der weise Odysseus;
84,1,"Auf! so laßt uns Hermeias, den rüstigen Argosbesieger,"
85,1,Senden hinab zu der Insel Ogygia: daß er der Nymphe
86,1,"Mit schönwallenden Locken verkünde den heiligen Ratschluß,"
87,1,Von der Wiederkehr des leidengeübten Odysseus.
88,1,"Aber ich will gern Ithaka gehn, den Sohn des Verfolgten"
89,1,"Mehr zu entflammen, und Mut in des Jünglings Seele zu gießen;"
90,1,"Daß er zu Rat berufe die hauptumlockten Achaier,"
91,1,"Und den Freiern verbiete, die stets mit üppiger Frechheit"
92,1,"Seine Schafe schlachten, und sein schwerwandelndes Hornvieh;"
93,1,"Will ihn dann senden gen Sparta, und zu der sandigen Pylos:"
94,1,"Daß er nach Kundschaft forsche von seines Vaters Zurückkunft,"
95,1,Und ein edler Ruf ihn unter den Sterblichen preise.
96,1,"Also sprach sie, und band sich unter die Füße die schönen"
97,1,"Goldnen ambrosischen Sohlen, womit sie über die Wasser"
98,1,Und das unendliche Land im Hauche des Windes einherschwebt;
99,1,"Faßte die mächtige Lanze mit scharfer eherner Spitze,"
100,1,"Schwer und groß und stark, womit sie die Scharen der Helden"
