line_number,book_number,original_text,verse_normalized,verse_syllabified
1,1,"Singe den Zorn, o Göttin, des Peleiaden Achilleus,",singe den zorn o göttin des peleiaden achilleus,sin|ge|den|zorn|o|göt|tin|des|pe|lei|a|den|a|chil|leus
2,1,"Ihn, der entbrannt den Achaiern unnennbaren Jammer erregte,",ihn der entbrannt den achaiern unnennbaren jammer erregte,ihn|der|ent|brannt|den|a|chai|ern|un|nenn|ba|ren|jam|mer|er|reg|te
3,1,Und viel tapfere Seelen der Heldensöhne zum Aïs,und viel tapfere seelen der heldensöhne zum aïs,und|viel|tap|fe|re|see|len|der|hel|den|söh|ne|zum|a|ïs
4,1,"Sendete, aber sie selbst zum Raub darstellte den Hunden,",sendete aber sie selbst zum raub darstellte den hunden,sen|de|te|a|ber|sie|selbst|zum|raub|dar|stell|te|den|hun|den
5,1,Und dem Gevögel umher. So ward Zeus Wille vollendet:,und dem gevögel umher so ward zeus wille vollendet,und|dem|ge|vö|gel|um|her|so|ward|zeus|wil|le|voll|en|det
6,1,"Seit dem Tag, als erst durch bitteren Zank sich entzweiten",seit dem tag als erst durch bitteren zank sich entzweiten,seit|dem|tag|als|erst|durch|bit|te|ren|zank|sich|ent|zwei|ten
7,1,"Atreus Sohn, der Herrscher des Volks, und der edle Achilleus.",atreus sohn der herrscher des volks und der edle achilleus,a|treus|sohn|der|herr|scher|des|volks|und|der|ed|le|a|chil|leus
8,1,Wer hat jene der Götter empört zu feindlichem Hader?,wer hat jene der götter empört zu feindlichem hader,wer|hat|je|ne|der|göt|ter|em|pört|zu|feind|li|chem|ha|der
9,1,"Letos Sohn und des Zeus. Denn der, dem Könige zürnend,",letos sohn und des zeus denn der dem könige zürnend,le|tos|sohn|und|des|zeus|denn|der|dem|kö|ni|ge|zür|nend
10,1,Sandte verderbliche Seuche durchs Heer; und es sanken die Völker:,sandte verderbliche seuche durchs heer und es sanken die völker,sand|te|ver|derb|li|che|seu|che|durchs|heer|und|es|san|ken|die|völ|ker
11,1,"Drum weil ihm den Chryses beleidiget, seinen Priester,",drum weil ihm den chryses beleidiget seinen priester,drum|weil|ihm|den|chry|ses|be|lei|di|get|sei|nen|pries|ter
12,1,"Atreus Sohn. Denn er kam zu den rüstigen Schiffen Achaias,",atreus sohn denn er kam zu den rüstigen schiffen achaias,a|treus|sohn|denn|er|kam|zu|den|rüs|ti|gen|schif|fen|a|chai|as
13,1,"Frei zu kaufen die Tochter, und bracht' unendliche Lösung,",frei zu kaufen die tochter und bracht' unendliche lösung,frei|zu|kau|fen|die|toch|ter|und|bracht'|un|end|li|che|lö|sung
14,1,Tragend den Lorbeerschmuck des treffenden Phöbos Apollon,tragend den lorbeerschmuck des treffenden phöbos apollon,tra|gend|den|lor|beer|schmuck|des|tref|fen|den|phö|bos|a|pol|lon
15,1,"Und den goldenen Stab; und er flehete laut den Achaiern,",und den goldenen stab und er flehete laut den achaiern,und|den|gol|de|nen|stab|und|er|fle|he|te|laut|den|a|chai|ern
16,1,"Doch den Atreiden vor allen, den zween Feldherren der Völker:",doch den atreiden vor allen den zween feldherren der völker,doch|den|a|trei|den|vor|al|len|den|zween|feld|her|ren|der|völ|ker
17,1,"Atreus Söhn', und ihr andern, ihr hellumschienten Achaier,",atreus söhn' und ihr andern ihr hellumschienten achaier,a|treus|söhn'|und|ihr|an|dern|ihr|hel|lum|schien|ten|a|chai|er
18,1,"Euch verleihn die Götter, olympischer Höhen Bewohner,",euch verleihn die götter olympischer höhen bewohner,euch|ver|leihn|die|göt|ter|o|lym|pi|scher|hö|hen|be|woh|ner
19,1,"Priamos Stadt zu vertilgen, und wohl nach Hause zu kehren;",priamos stadt zu vertilgen und wohl nach hause zu kehren,pri|a|mos|stadt|zu|ver|til|gen|und|wohl|nach|hau|se|zu|keh|ren
20,1,"Doch mir gebt die Tochter zurück, und empfahet die Lösung,",doch mir gebt die tochter zurück und empfahet die lösung,doch|mir|gebt|die|toch|ter|zu|rück|und|emp|fa|het|die|lö|sung
21,1,Ehrfurchtsvoll vor Zeus ferntreffendem Sohn Apollon.,ehrfurchtsvoll vor zeus ferntreffendem sohn apollon,ehr|furchts|voll|vor|zeus|fern|tref|fen|dem|sohn|a|pol|lon
22,1,"Drauf gebot beifallend das ganze Heer der Achaier,",drauf gebot beifallend das ganze heer der achaier,drauf|ge|bot|bei|fal|lend|das|gan|ze|heer|der|a|chai|er
23,1,"Ehrend den Priester zu scheun, und die köstliche Lösung zu nehmen.",ehrend den priester zu scheun und die köstliche lösung zu nehmen,eh|rend|den|pries|ter|zu|scheun|und|die|köst|li|che|lö|sung|zu|neh|men
24,1,"Aber nicht Agamemnon, des Atreus Sohne, gefiel es;",aber nicht agamemnon des atreus sohne gefiel es,a|ber|nicht|a|ga|mem|non|des|a|treus|soh|ne|ge|fiel|es
25,1,"Dieser entsandt' ihn mit Schmach, und befahl die drohenden Worte:",dieser entsandt' ihn mit schmach und befahl die drohenden worte,die|ser|ent|sandt'|ihn|mit|schmach|und|be|fahl|die|dro|hen|den|wor|te
26,1,"Daß ich nimmer, o Greis, bei den räumigen Schiffen dich treffe,",daß ich nimmer o greis bei den räumigen schiffen dich treffe,daß|ich|nim|mer|o|greis|bei|den|räu|mi|gen|schif|fen|dich|tref|fe
27,1,"Weder anitzt hier zaudernd, noch wiederkehrend in Zukunft!",weder anitzt hier zaudernd noch wiederkehrend in zukunft,we|der|a|nitzt|hier|zau|dernd|noch|wie|der|keh|rend|in|zu|kunft
28,1,"Kaum wohl möchte dir helfen der Stab, und der Lorbeer des Gottes!",kaum wohl möchte dir helfen der stab und der lorbeer des gottes,kaum|wohl|möch|te|dir|hel|fen|der|stab|und|der|lor|beer|des|got|tes
29,1,"Jene lös' ich dir nicht, bis einst das Alter ihr nahet,",jene lös' ich dir nicht bis einst das alter ihr nahet,je|ne|lös'|ich|dir|nicht|bis|einst|das|al|ter|ihr|na|het
30,1,"Wann sie in meinem Palast in Argos, fern von der Heimat,",wann sie in meinem palast in argos fern von der heimat,wann|sie|in|mei|nem|pa|last|in|ar|gos|fern|von|der|hei|mat
31,1,"Mir als Weberin dient, und meines Bettes Genossin!",mir als weberin dient und meines bettes genossin,mir|als|we|be|rin|dient|und|mei|nes|bet|tes|ge|nos|sin
32,1,"Gehe denn, reize mich nicht; daß wohlbehalten du kehrest!",gehe denn reize mich nicht daß wohlbehalten du kehrest,ge|he|denn|rei|ze|mich|nicht|daß|wohl|be|hal|ten|du|keh|rest
33,1,"Jener sprach's: doch Chryses erschrak, und gehorchte der Rede.",jener sprach's doch chryses erschrak und gehorchte der rede,je|ner|sprach's|doch|chry|ses|er|schrak|und|ge|horch|te|der|re|de
34,1,Schweigend ging er am Ufer des weitaufrauschenden Meeres;,schweigend ging er am ufer des weitaufrauschenden meeres,schwei|gend|ging|er|am|u|fer|des|weit|auf|rau|schen|den|mee|res
35,1,"Und wie er einsam jetzt hinwandelte, flehte der Alte",und wie er einsam jetzt hinwandelte flehte der alte,und|wie|er|ein|sam|jetzt|hin|wan|del|te|fleh|te|der|al|te
36,1,"Viel zum Herrscher Apollon, dem Sohn der lockigen Leto:",viel zum herrscher apollon dem sohn der lockigen leto,viel|zum|herr|scher|a|pol|lon|dem|sohn|der|lo|cki|gen|le|to
37,1,"Höre mich, Gott, der du Chrysa mit silbernem Bogen umwandelst,",höre mich gott der du chrysa mit silbernem bogen umwandelst,hö|re|mich|gott|der|du|chry|sa|mit|sil|ber|nem|bo|gen|um|wan|delst
