word,manually_syllabified_word
achilleus,a|chil|leus
achilleus',a|chil|leus'
achaier,a|chai|er
achaias,a|chai|as
achaiern,a|chai|ern
achaiischen,a|chai|i|schen
achairinnen,a|chai|rin|nen
achaierin,a|chai|er|in
achaierinnen,a|chai|er|in|nen
achaiermacht,a|chai|er|macht
achaiische,a|chai|isch|e
achaiisches,a|chai|isch|es
ais,a|is
odysseus,o|dys|seus
odysseus',o|dys|seus'
ajas,a|jas
ajas',a|jas'
idomeneus,i|do|me|neus
idomeneus',i|do|me|neus'
laertiad,la|er|ti|ad
laerkes,la|er|kes
laerkes',la|er|kes'
laertes,la|er|tes
laertes',la|er|tes'
orneia,or|nei|a
aber,a|ber
ätolern,ä|to|lern
ätolier,ä|to|lier
thoas,tho|as
ätoliens,ä|to|liens
akamas,a|ka|mas
thrakia,thra|ki|a
thrakiens,thra|ki|ens
thrakier,thra|ki|er
peiroos,pei|ro|os
here,he|re
athene,a|the|ne
athen',a|then'
athenäa,a|then|ä|a
athenens,a|the|nens
athener,a|the|ner
athen,a|then
athens,a|thens
athenä,a|the|nä
athenen,a|the|nen
athenäe,a|the|nä|e
athenäens,a|the|nä|ens
athenäer,a|the|nä|er
geschah,ge|schah
geschahen,ge|scha|hen
geschahn,ge|schahn
isandros,i|san|dros
hippolochos,hip|po|lo|chos
hippolochos',hip|po|lo|chos'
flehet',fle|het'
graue,grau|e
öneus,ö|neus
agamemnon,a|ga|mem|non
agamemnons,a|ga|mem|nons
atreus,a|treus
atreus',a|treus'
atreiden,a|trei|den
atreide,a|trei|de
atreid,a|treid
atreid',a|treid'
atreion,a|trei|on
atreionen,a|trei|o|nen
atreione,a|trei|o|ne
apollon,a|pol|lon
apollons,a|pol|lons
agastrophos,a|gas|tro|phos
agakles,a|ga|kles
agamede,a|ga|me|de
agapenor,a|ga|pe|nor
agasthenes,a|gas|the|nes
agathon,a|ga|thon
agaue,a|gau|e
epeier,e|pei|er
epeios,e|pei|os
epeiern,e|pei|ern
epeigeus,e|pei|geus
epeiischen,e|pei|i|schen
epeiros,e|pei|ros
laomedon,la|o|me|don
laomedons,la|o|me|dons
laodike,la|o|di|ke
menelaos',me|ne|la|os'
laodameia,la|o|da|mei|a
laodokos,la|o|do|kos
laogonos,la|o|go|nos
laothoe,la|o|tho|e
laodamas,la|o|da|mas
hippodameia,hip|po|da|mei|a
unglücklicher,un|glück|li|cher
unglück,un|glück
unglückseligen,un|glück|se|li|gen
pelegons,pe|le|gons
bergquells,berg|quells
durchglühete,durch|glü|he|te
durchglühte,durch|glüh|te
lagre,lag|re
langausreichende,lang|aus|rei|chen|de
unglückdrohende,un|glück|dro|hen|de
unglücklich,un|glück|lich
unglückliche,un|glück|li|che
unglücklichen,un|glück|li|chen
unglückselig,un|glück|se|lig
unglückselige,un|glück|se|li|ge
unglückseliger,un|glück|se|li|ger
unglücksseher,un|glücks|se|her
unsterblichen,un|sterb|li|chen
unsterbliche,un|sterb|li|che
unsterblicher,un|sterb|li|cher
heilsamen,heil|sa|men
bastard,bas|tard
heerskraft,heers|kraft
heilsamer,heil|sa|mer
heilsamsten,heil|sams|ten
unsterblich,un|sterb|lich
heilsam,heil|sam
austilgend,aus|til|gend
bundesopfer,bun|des|op|fer
